,,,,深圳新城无业绩，奖金基数值均为老城业绩,,,279200,
序号,城市,咨询师工号,城市Y值,奖金基数值,职级,等级比例值,奖金金额,8月所在城市是新城or老城
555,天津,2491,52212.82,0,C0,0,0,老城
556,天津,2492,52212.82,0,C0,0,0,老城
557,天津,2493,52212.82,0,C0,0,0,老城
558,天津,2494,52212.82,0,C0,0,0,老城
559,天津,2498,52212.82,0,C0,0,0,老城
560,天津,2497,52212.82,0,C0,0,0,老城
561,重庆,626,8565.27,0,C1,0,0,老城
562,重庆,910,8565.27,0,C5,0,5500,老城
563,重庆,1006,8565.27,0,C3,0,800,老城
564,重庆,1004,8565.27,0,C5,0,5500,老城
565,重庆,1106,8565.27,0,C1,0,0,老城
566,重庆,1105,8565.27,33120,C3,3.87,800,老城
567,重庆,1199,8565.27,0,C1,0,0,老城
568,重庆,1235,8565.27,0,C1,0,0,老城
569,重庆,1234,8565.27,0,C4,0,2000,老城
570,重庆,1236,8565.27,23750,C4,2.77,2000,老城
571,重庆,1468,8565.27,15750,C3,1.84,800,老城
572,重庆,1470,8565.27,40000,C4,4.67,2000,老城
573,重庆,1471,8565.27,0,C1,0,0,老城
574,重庆,1472,8565.27,0,C1,0,0,老城
575,重庆,1660,8565.27,0,C1,0,0,老城
576,重庆,1657,8565.27,0,C1,0,0,老城
577,重庆,1658,8565.27,14400,C3,1.68,800,老城
578,重庆,1872,8565.27,42837.24,C3,5,800,老城
579,重庆,1869,8565.27,0,C1,0,0,老城
580,重庆,1661,8565.27,0,C1,0,0,老城
581,重庆,1874,8565.27,0,C1,0,0,老城
582,重庆,1875,8565.27,3039.79,C1,0.35,0,老城
583,重庆,1866,8565.27,6930,C1,0.81,0,老城
584,重庆,1864,8565.27,2250,C0,0.26,0,老城
585,重庆,1983,8565.27,0,C0,0,0,老城
586,重庆,1981,8565.27,11250,C0,1.31,0,老城
587,重庆,1987,8565.27,23750,C0,2.77,0,老城
588,重庆,2114,8565.27,25000,C0,2.92,0,老城
589,重庆,2115,8565.27,0,C0,0,0,老城
590,重庆,2116,8565.27,45000,C0,5.25,0,老城
591,重庆,2118,8565.27,25000,C0,2.92,0,老城
592,重庆,2349,8565.27,0,C0,0,0,老城
593,重庆,2351,8565.27,0,C0,0,0,老城
594,重庆,2353,8565.27,0,C0,0,0,老城
595,重庆,2354,8565.27,0,C0,0,0,老城
596,重庆,2355,8565.27,0,C0,0,0,老城
597,重庆,2473,8565.27,0,C0,0,0,老城
598,重庆,2474,8565.27,0,C0,0,0,老城
599,重庆,2475,8565.27,0,C0,0,0,老城
600,重庆,2476,8565.27,0,C0,0,0,老城
601,重庆,2477,8565.27,0,C0,0,0,老城
602,重庆,2478,8565.27,0,C0,0,0,老城
603,重庆,2479,8565.27,0,C0,0,0,老城
604,重庆,2480,8565.27,0,C0,0,0,老城
605,重庆,2482,8565.27,0,C0,0,0,老城
606,重庆,2484,8565.27,0,C0,0,0,老城
